"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate"
"https://shopee.co.id/-100-pcs-Akrilik-Mata-Putih-Crystal-Diamond-Kristal-Akrilik-Payet-Acrylic-Mata-Putih-Grade-A-Mata-5x10mm-7x15mm-i.235245330.20456207020?extraParams=%7B%22display_model_id%22%3A165875984326%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxr-mda11dojq5rr38","[100 pcs] Akrilik Mata Putih Crystal / Diamond Kristal Akrilik / Payet Acrylic Mata Putih Grade A Mata 5x10mm , 7x15mm","20.150","4.8","5RB+ terjual"
"https://shopee.co.id/-25-pcs-Akrilik-Tetes-8x13mm-Diamond-Kristal-Akrilik-Acrylic-Tetes-8x13mm-Warna-Warni-Grade-A-i.235245330.27754989505?extraParams=%7B%22display_model_id%22%3A69790943299%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwd-md1p66ytqunr36","[25 pcs] Akrilik Tetes 8x13mm / Diamond Kristal Akrilik / Acrylic Tetes 8x13mm Warna-Warni Grade A","11.000","4.9","837 terjual"
"https://shopee.co.id/-100-pcs-Akrilik-Tetes-Putih-Crystal-Diamond-Acrylic-Payet-Kristal-Akrilik-Tetes-Putih-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.22201266102?extraParams=%7B%22display_model_id%22%3A174831693784%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyl-mda1bg7d28u876","[100 pcs] Akrilik Tetes Putih Crystal / Diamond Acrylic / Payet Kristal Akrilik Tetes Putih Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","17.000","4.8","3RB+ terjual"
"https://shopee.co.id/-25-pcs-Akrilik-Mata-7x15mm-Diamond-Kristal-Akrilik-Acrylic-Mata-Sampan-7x15mm-Warna-Warni-Grade-A-i.235245330.26650555194?extraParams=%7B%22display_model_id%22%3A240866964468%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw9-md44afcjz2t584","[25 pcs] Akrilik Mata 7x15mm / Diamond Kristal Akrilik / Acrylic Mata / Sampan 7x15mm Warna-Warni Grade A","12.500","4.8","83 terjual"
"https://shopee.co.id/-10-pcs-Akrilik-Tetes-Putih-Crystal-Diamond-Acrylic-Payet-Kristal-Akrilik-Tetes-Putih-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.21456199489?extraParams=%7B%22display_model_id%22%3A126962098057%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdya-mda1a27q7sjye1","[10 pcs] Akrilik Tetes Putih Crystal / Diamond Acrylic / Payet Kristal Akrilik Tetes Putih Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","6.000","4.9","125 terjual"
"https://shopee.co.id/-5-pcs-Akrilik-Bulat-10mm-Diamond-Kristal-Akrilik-Acrylic-Warna-Warni-Grade-A-Bulat-Round-10mm-i.235245330.28050348055?extraParams=%7B%22display_model_id%22%3A250853132464%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdws-md1ooyyh20r85f","[5 pcs] Akrilik Bulat 10mm / Diamond Kristal Akrilik / Acrylic Warna-Warni Grade A Bulat Round 10mm","4.500","4.9","54 terjual"
"https://shopee.co.id/-50-pcs-Akrilik-Tetes-Putih-Crystal-Diamond-Acrylic-Payet-Kristal-Akrilik-Tetes-Putih-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.16088060638?extraParams=%7B%22display_model_id%22%3A98373249894%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwv-mda1aqjolzb41e","[50 pcs] Akrilik Tetes Putih Crystal / Diamond Acrylic / Payet Kristal Akrilik Tetes Putih Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","12.500","4.9","1RB+ terjual"
"https://shopee.co.id/-50-pcs-Akrilik-Mata-Putih-Crystal-Diamond-Kristal-Akrilik-Payet-Acrylic-Mata-Putih-Grade-A-Mata-5x10mm-7x15mm-i.235245330.20656205898?extraParams=%7B%22display_model_id%22%3A177640364344%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxl-mda12ifhxtts52","[50 pcs] Akrilik Mata Putih Crystal / Diamond Kristal Akrilik / Payet Acrylic Mata Putih Grade A Mata 5x10mm , 7x15mm","14.375","4.8","6RB+ terjual"
"https://shopee.co.id/-10-pcs-Akrilik-Bulat-10mm-Diamond-Kristal-Akrilik-Acrylic-Warna-Warni-Grade-A-Bulat-Round-10mm-i.235245330.27600504731?extraParams=%7B%22display_model_id%22%3A185115429722%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxb-md1ol7o4zq2f9e","[10 pcs] Akrilik Bulat 10mm / Diamond Kristal Akrilik / Acrylic Warna-Warni Grade A Bulat Round 10mm","6.500","4.9","117 terjual"
"https://shopee.co.id/-25-pcs-Akrilik-Bulat-Putih-Crystal-Diamond-Acrylic-Payet-Akrilik-Putih-Grade-A-Bulat-Round-8mm-10mm-12mm-i.235245330.21082572672?extraParams=%7B%22display_model_id%22%3A196931976839%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyj-mda1jt4eqsvr67","[25 pcs]  Akrilik Bulat Putih Crystal / Diamond Acrylic / Payet Akrilik Putih Grade A Bulat Round 8mm , 10mm , 12mm","13.750","4.9","155 terjual"
"https://shopee.co.id/-100-pcs-Akrilik-Mata-AB-Pelangi-Diamond-Kristal-Akrilik-Payet-Akrilik-Acrylic-Pelangi-Grade-A-Mata-5x10mm-7x15mm-i.235245330.22801693213?extraParams=%7B%22display_model_id%22%3A231572154197%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyh-mda2c0j8rvb08d","[100 pcs] Akrilik Mata AB / Pelangi / Diamond Kristal Akrilik / Payet Akrilik / Acrylic Pelangi Grade A Mata 5x10mm , 7x15mm","12.000","4.9","6RB+ terjual"
"https://shopee.co.id/-100-pcs-Akrilik-Tetes-AB-Pelangi-Diamond-Acrylic-Payet-Akrilik-Tetes-Pelangi-Grade-A-Tetes-6x10mm-8x13mm-9x17mm-10x14mm-i.235245330.20156840123?extraParams=%7B%22display_model_id%22%3A107611498274%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyn-mda2qwlgb8afe9","[100 pcs] Akrilik Tetes AB / Pelangi / Diamond Acrylic / Payet Akrilik Tetes Pelangi Grade A Tetes 6x10mm, 8x13mm , 9x17mm , 10x14mm","18.000","4.8","2RB+ terjual"
