"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate"
"https://shopee.co.id/4mm-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Bening-Transparan-Mengkilap-4mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.21049231620?extraParams=%7B%22display_model_id%22%3A164585029537%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-82628-ml69l17tjnr766","4mm - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Bening Transparan Mengkilap 4mm per Renteng Kualitas Bagus Grade A","7.595","4.9","10RB+ terjual"
"https://shopee.co.id/6mm-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Bening-Transparan-Mengkilap-6mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.18987484012?extraParams=%7B%22display_model_id%22%3A250551322567%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-82623-ml6a0lamzsas8f","6mm - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Bening Transparan Mengkilap 6mm per Renteng Kualitas Bagus Grade A","7.945","4.9","10RB+ terjual"
"https://shopee.co.id/6mm-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Doff-6mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.18160455938?extraParams=%7B%22display_model_id%22%3A98431781908%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-822yf-mo6fuf23hero7c","6mm - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Doff 6mm per Renteng Kualitas Bagus Grade A","12.595","4.9","6RB+ terjual"
"https://shopee.co.id/Manik-Kristal-Ceko-Kerucut-4mm-Kristal-Ceko-Lancip-Bening-Transparan-Pelangi-Mengkilap-Ceko-Diamond-Doff-4mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.40912597291?extraParams=%7B%22display_model_id%22%3A301056077936%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-820ob-mnv6a9hbmp6r47","Manik Kristal Ceko Kerucut 4mm / Kristal Ceko Lancip Bening Transparan Pelangi Mengkilap / Ceko Diamond Doff 4mm per Renteng Kualitas Bagus Grade A","10.500","4.9","4RB+ terjual"
"https://shopee.co.id/8mm-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Bening-Transparan-Mengkilap-8mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.19149327353?extraParams=%7B%22display_model_id%22%3A275567061287%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-8262c-mjgjb4w4cnwn7d","8mm - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Bening Transparan Mengkilap 8mm per Renteng Kualitas Bagus Grade A","9.945","4.9","10RB+ terjual"
"https://shopee.co.id/2MM-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Bening-Transparan-Mengkilap-Kualitas-Bagus-Grade-A-2mm-3mm-4mm-6mm-8mm-10mm-per-Renteng-i.235245330.26955094333?extraParams=%7B%22display_model_id%22%3A251180477051%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-821gg-mgggxnp4xekofa","2MM - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Bening Transparan Mengkilap Kualitas Bagus Grade A 2mm , 3mm , 4mm , 6mm , 8mm , 10mm per Renteng","9.650","4.9","10RB+ terjual"
"https://shopee.co.id/8mm-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Doff-8mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.22319068657?extraParams=%7B%22display_model_id%22%3A295566958961%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-822zy-mo6fnwye56v757","8mm - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Doff 8mm per Renteng Kualitas Bagus Grade A","13.995","4.9","2RB+ terjual"
"https://shopee.co.id/4mm-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Doff-4mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.17489207422?extraParams=%7B%22display_model_id%22%3A220204486595%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-822zw-mo6gi96wuuwx44","4mm - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Doff 4mm per Renteng Kualitas Bagus Grade A","11.595","4.9","10RB+ terjual"
"https://shopee.co.id/3MM-Manik-Kristal-Ceko-Bakpau-Bakpao-Bulat-Gepeng-Bening-Transparan-Mengkilap-Kualitas-Bagus-Grade-A-3mm-per-Renteng-i.235245330.28954999184?extraParams=%7B%22display_model_id%22%3A197643217292%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdym-mcxqrooglkop18","3MM - Manik Kristal Ceko Bakpau / Bakpao / Bulat / Gepeng Bening Transparan Mengkilap Kualitas Bagus Grade A 3mm per Renteng","7.595","4.9","10RB+ terjual"
"https://shopee.co.id/8x12mm-Manik-Kristal-Ceko-Tetes-Bening-Transparan-Mengkilap-8x12mm-per-Renteng-Kualitas-Bagus-Grade-A-i.235245330.27900347133?extraParams=%7B%22display_model_id%22%3A280656988471%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwt-mcxrdxhunubg63","8x12mm - Manik Kristal Ceko Tetes Bening Transparan Mengkilap 8x12mm per Renteng Kualitas Bagus Grade A","23.095","4.9","898 terjual"
