"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate"
"https://shopee.co.id/-50-GRAM-Mote-Manik-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-Warna-Broken-White-i.235245330.26950956605?extraParams=%7B%22display_model_id%22%3A246883521889%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvs-mcqawikmr1xv17","[50 GRAM] Mote / Manik Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover Warna Broken White","15.000","4.9","712 terjual"
"https://shopee.co.id/-25-GRAM-Manik-Kelopak-Bunga-Star-Flower-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.28150952133?extraParams=%7B%22display_model_id%22%3A240894282934%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxn-mcrdc3dbgakzb5","[25 GRAM] Manik Kelopak Bunga Star Flower / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","8.000","5.0","47 terjual"
"https://shopee.co.id/-10-GRAM-Manik-Kelopak-Bunga-Trillium-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.26300951933?extraParams=%7B%22display_model_id%22%3A246883604179%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyx-mcreij0zvc8n2c","[10 GRAM] Manik Kelopak Bunga Trillium / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","5.000","5.0","11 terjual"
"https://shopee.co.id/-100-GRAM-Manik-Kelopak-Bunga-Catalinae-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.25187642429?extraParams=%7B%22display_model_id%22%3A246883667802%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw2-mcrg30w9jugw60","[100 GRAM] Manik Kelopak Bunga Catalinae / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","28.000","5.0","13 terjual"
"https://shopee.co.id/-10-GRAM-Mote-Manik-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-Warna-Broken-White-i.235245330.27650951583?extraParams=%7B%22display_model_id%22%3A256883508538%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyw-mcrncasn5lc0be","[10 GRAM] Mote / Manik Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover Warna Broken White","5.000","4.9","3RB+ terjual"
"https://shopee.co.id/-5-GRAM-Mote-Manik-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-Warna-Broken-White-i.235245330.28800951305?extraParams=%7B%22display_model_id%22%3A157476955494%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvr-mcrn9sy8r08w60","[5 GRAM] Mote / Manik Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover Warna Broken White","3.500","4.8","5RB+ terjual"
"https://shopee.co.id/-10-GRAM-Manik-Kelopak-Bunga-Star-Flower-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.28250957463?extraParams=%7B%22display_model_id%22%3A240894285087%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxb-mcrdbl4u6e6488","[10 GRAM] Manik Kelopak Bunga Star Flower / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","5.000","4.9","41 terjual"
"https://shopee.co.id/-50-GRAM-Manik-Daun-Fiddle-Leaf-Mote-Daun-Mutiara-Manik-Mutiara-Daun-Pearl-Clover-i.235245330.27912207789?extraParams=%7B%22display_model_id%22%3A168499077930%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvx-mcvt7tqfznzw50","[50 GRAM] Manik Daun Fiddle Leaf / Mote Daun Mutiara / Manik Mutiara Daun / Pearl Clover","15.000","5.0","68 terjual"
"https://shopee.co.id/-25-GRAM-Manik-Kelopak-Bunga-Cerastium-Mote-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-i.235245330.26623592824?extraParams=%7B%22display_model_id%22%3A206026615818%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwl-mcrdkxrxgqxgc1","[25 GRAM] Manik Kelopak Bunga Cerastium / Mote Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover","8.000","4.9","136 terjual"
"https://shopee.co.id/-25-GRAM-Mote-Manik-Kelopak-Bunga-Mutiara-Manik-Mutiara-Bunga-Pearl-Clover-Warna-Broken-White-i.235245330.27850951421?extraParams=%7B%22display_model_id%22%3A215500758809%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyd-mcqdes7z5zk095","[25 GRAM] Mote / Manik Kelopak Bunga Mutiara / Manik Mutiara Bunga / Pearl Clover Warna Broken White","8.000","4.9","3RB+ terjual"
