"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate"
"https://shopee.co.id/-10-GRAM-Mutiara-Jepang-Payet-Mote-Manik-Jepang-Kwalitas-Kw-1-Kw-A-Grade-A-Variasi-Ukuran-3mm-4mm-6mm-8mm-Warna-Putih-Broken-White-i.235245330.15793734652?extraParams=%7B%22display_model_id%22%3A136896655549%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvc-mcu4b5f1qbk082","[10 GRAM] Mutiara Jepang / Payet Mote Manik Jepang Kwalitas Kw 1 / Kw A / Grade A Variasi Ukuran 3mm 4mm 6mm 8mm Warna Putih, Broken White","13.750","4.9","3RB+ terjual"
"https://shopee.co.id/-5-GRAM-Mutiara-Jepang-Payet-Mote-Manik-Jepang-Kw-1-Kw-A-Grade-A-Ukuran-3mm-4mm-6mm-8mm-Warna-Putih-Broken-White-i.235245330.19191820934?extraParams=%7B%22display_model_id%22%3A235511666993%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw8-mcu48girkf0976","[5 GRAM] Mutiara Jepang / Payet Mote Manik Jepang Kw 1 / Kw A / Grade A Ukuran 3mm 4mm 6mm 8mm Warna Putih, Broken White","9.350","4.9","2RB+ terjual"
"https://shopee.co.id/-10-GRAM-Mutiara-Jepang-Payet-Manik-Jepang-Bulat-Kw-1-Kw-A-Grade-A-Warna-Gold-Light-Gold-Rose-Gold-Silver-3mm-4mm-6mm-8mm-i.235245330.15593522153?extraParams=%7B%22display_model_id%22%3A192594020880%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdy9-mcuen5mjw6688b","[10 GRAM] Mutiara Jepang / Payet Manik Jepang Bulat  Kw 1 / Kw A / Grade A Warna Gold, Light Gold, Rose Gold, Silver 3mm 4mm 6mm 8mm","12.500","4.9","7RB+ terjual"
"https://shopee.co.id/-25-GRAM-Part-2-Mutiara-Jepang-Payet-Jepang-Bulat-Kw-1-Kw-A-Grade-A-Warna-Warni-Ukuran-3mm-4mm-6mm-8mm-i.235245330.21582874994?extraParams=%7B%22display_model_id%22%3A79908355890%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdy3-mcx5qz4r9k5w94","[25 GRAM] Part 2 Mutiara Jepang / Payet Jepang Bulat  Kw 1 / Kw A / Grade A Warna-Warni Ukuran 3mm 4mm 6mm 8mm","31.540","4.9","1RB+ terjual"
"https://shopee.co.id/-5-GRAM-Part-2-Mutiara-Jepang-Payet-Jepang-Bulat-Kw-1-Kw-A-Grade-A-Warna-Warni-Ukuran-3mm-4mm-6mm-8mm-i.235245330.17298463193?extraParams=%7B%22display_model_id%22%3A305923190281%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxt-mcx6tlylzrdadd","[5 GRAM] Part 2 Mutiara Jepang / Payet Jepang Bulat Kw 1 / Kw A / Grade A Warna-Warni Ukuran 3mm 4mm 6mm 8mm","9.995","4.9","3RB+ terjual"
"https://shopee.co.id/-25-GRAM-Part-1-Mutiara-Jepang-Payet-Mote-Manik-Jepang-Bulat-Kw-1-Kw-A-Grade-A-3mm-4mm-6mm-8mm-Warna-Warni-i.235245330.22551111948?extraParams=%7B%22display_model_id%22%3A231906098381%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdyg-mcx350gxdr244a","[25 GRAM] Part 1 Mutiara Jepang / Payet Mote Manik Jepang Bulat  Kw 1 / Kw A / Grade A 3mm 4mm 6mm 8mm Warna-Warni","34.885","4.9","1RB+ terjual"
"https://shopee.co.id/-25-GRAM-Mutiara-Jepang-Payet-Manik-Jepang-Bulat-Kw-1-Kw-A-Grade-A-Warna-Putih-Broken-White-3mm-4mm-6mm-8mm-i.235245330.21853171422?extraParams=%7B%22display_model_id%22%3A202671347963%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxj-mcu4cw8dt4owe9","[25 GRAM] Mutiara Jepang / Payet Manik Jepang Bulat  Kw 1 / Kw A / Grade A Warna Putih, Broken White 3mm 4mm 6mm 8mm","27.500","4.9","1RB+ terjual"
"https://shopee.co.id/-50-GRAM-Part-2-Mutiara-Jepang-Payet-Mote-Manik-Jepang-Kw-1-Kw-A-Grade-A-Ukuran-3mm-4mm-6mm-8mm-Warna-Warni-i.235245330.18491832593?extraParams=%7B%22display_model_id%22%3A231906150568%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdx5-mcx5vy19gmdc8e","[50 GRAM] Part 2 Mutiara Jepang / Payet Mote Manik Jepang Kw 1 / Kw A / Grade A Ukuran 3mm 4mm 6mm 8mm Warna-Warni","67.050","4.9","647 terjual"
"https://shopee.co.id/-10-GRAM-Part-2-Mutiara-Jepang-Payet-Manik-Jepang-Bulat-Kw-1-Kw-A-Grade-A-Variasi-Ukuran-3mm-4mm-6mm-8mm-Warna-Warni-i.235245330.23751108333?extraParams=%7B%22display_model_id%22%3A260923880513%2C%22model_selection_logic%22%3A2%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvm-mcx6mici0j0u63","[10 GRAM] Part 2 Mutiara Jepang / Payet Manik Jepang Bulat  Kw 1 / Kw A / Grade A Variasi Ukuran 3mm 4mm 6mm 8mm Warna-Warni","16.625","4.9","7RB+ terjual"
"https://shopee.co.id/-1-PON-Mutiara-Jepang-Payet-Mote-Jepang-Kwalitas-Kw-1-Kw-A-Grade-A-Ukuran-3mm-4mm-6mm-8mm-Warna-Gold-Light-Gold-Rose-Gold-Silver-i.235245330.19451582229?extraParams=%7B%22display_model_id%22%3A136864115077%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdww-mcu5xxqcsu2ked","[1 PON] Mutiara Jepang / Payet Mote Jepang Kwalitas Kw 1 / Kw A / Grade A Ukuran 3mm 4mm 6mm 8mm Warna Gold, Light Gold, Rose Gold, Silver","205.700","4.8","1RB+ terjual"
"https://shopee.co.id/-1-2-PON-Mutiara-Jepang-Payet-Mote-Jepang-Kw-1-Kw-A-Grade-A-Variasi-Ukuran-3mm-4mm-6mm-8mm-Warna-Gold-Light-Gold-Rose-Gold-Silver-i.235245330.21285331293?extraParams=%7B%22display_model_id%22%3A167916646557%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdye-mcu5uv2ipam191","[1/2 PON] Mutiara Jepang / Payet Mote Jepang Kw 1 / Kw A / Grade A Variasi Ukuran 3mm 4mm 6mm 8mm Warna Gold, Light Gold, Rose Gold, Silver","114.950","4.9","622 terjual"
